onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index
5.309	0.133	0.133	10	TWOPULSE-4	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	29
6.948	0.133	0.017	7	TWOPULSE-1	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	19
8.539	0.133	0.067	9	TWOPULSE-3	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	25
10.178	0.133	0.000	4	ONEPULSE-4	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	11
11.796	0.267	0.000	5	ONEPULSE-5	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	13
13.287	0.133	0.067	9	TWOPULSE-3	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	26
14.584	0.133	0.267	11	TWOPULSE-5	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	32
16.096	0.133	0.033	8	TWOPULSE-2	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	22
17.505	0.017	0.000	1	ONEPULSE-1	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	2
19.197	0.533	0.000	6	ONEPULSE-6	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	17
20.565	0.133	0.000	4	ONEPULSE-4	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	12
21.800	0.133	0.033	8	TWOPULSE-2	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	23
23.278	0.533	0.000	6	ONEPULSE-6	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	18
24.592	0.133	0.017	7	TWOPULSE-1	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	20
26.096	0.267	0.000	5	ONEPULSE-5	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	15
27.474	0.033	0.000	2	ONEPULSE-2	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	6
28.695	0.133	0.533	12	TWOPULSE-6	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	35
30.012	0.133	0.533	12	TWOPULSE-6	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	34
31.302	0.067	0.000	3	ONEPULSE-3	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	7
32.873	0.133	0.067	9	TWOPULSE-3	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	27
34.271	0.067	0.000	3	ONEPULSE-3	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	9
35.949	0.133	0.267	11	TWOPULSE-5	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	33
37.237	0.533	0.000	6	ONEPULSE-6	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	16
38.805	0.133	0.000	4	ONEPULSE-4	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	10
40.518	0.133	0.133	10	TWOPULSE-4	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	30
41.852	0.067	0.000	3	ONEPULSE-3	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	8
43.386	0.017	0.000	1	ONEPULSE-1	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	1
44.962	0.133	0.267	11	TWOPULSE-5	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	31
46.561	0.017	0.000	1	ONEPULSE-1	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	3
47.821	0.267	0.000	5	ONEPULSE-5	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	14
49.108	0.133	0.133	10	TWOPULSE-4	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	28
50.485	0.133	0.033	8	TWOPULSE-2	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	24
51.939	0.133	0.017	7	TWOPULSE-1	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	21
53.592	0.133	0.533	12	TWOPULSE-6	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	36
55.057	0.033	0.000	2	ONEPULSE-2	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	4
56.504	0.033	0.000	2	ONEPULSE-2	sub-beilen_ses-umcuecog_task-temporalpattern_acq-clinical_run-1_events.mat	5
